system_code,source_code,source_db,schema_name,table_name,full_name,table_comment,domain,table_role,include_status,governance_import_status,review_status,num_rows_stats,exclude_reason,source_file_name,confirmation_status,manual_confirm_question
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,BILL_PATTERN_MASTER_copy1,COMM.BILL_PATTERN_MASTER_copy1,费用模板主记录,费用收费,intermediate,excluded,excluded,excluded_by_recheck,3946,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,CLIENT_INSTALLATION_LOG,COMM.CLIENT_INSTALLATION_LOG,需要人工确认,标准映射表,master_data,excluded,excluded,excluded_by_recheck,18,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,CLINIC_OPER_LOG,COMM.CLINIC_OPER_LOG,临床诊疗项目操作日志表,手术,asset_table,excluded,excluded,excluded_by_recheck,0,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,INP_CANCEL_LOG,COMM.INP_CANCEL_LOG,作废住院号管理表,住院就诊,master_data,excluded,excluded,excluded_by_recheck,0,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,OPERATION_LOG,COMM.OPERATION_LOG,操作日志,手术,asset_table,excluded,excluded,excluded_by_recheck,57407694,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,PRICE_LIST_LOG,COMM.PRICE_LIST_LOG,价表日志,费用收费,asset_table,excluded,excluded,excluded_by_recheck,98,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,SECURITY_TEMPLATE,COMM.SECURITY_TEMPLATE,需要人工确认,人员字典,master_data,excluded,excluded,excluded_by_recheck,3662,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,TJ_ERROR_LOG,COMM.TJ_ERROR_LOG,需要人工确认,标准映射表,asset_table,excluded,excluded,excluded_by_recheck,0,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,TJ_LOG_MESSAGE,COMM.TJ_LOG_MESSAGE,需要人工确认,标准映射表,asset_table,excluded,excluded,excluded_by_recheck,0,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,UPDATE_LOG,COMM.UPDATE_LOG,需要人工确认,标准映射表,master_data,excluded,excluded,excluded_by_recheck,9184838,命中日志/临时/备份/错误/同步/测试关键词或既有排除口径,系统表结构/HIS系统数据库表结构.md,建议排除,如该表仍被业务查询或接口依赖，请恢复为待确认
